k,lhs,rhs
2.14334,0.413136,0.00292766
2.14345,0.412711,0.00309341
2.14356,0.412283,0.00326666
2.14366,0.41185,0.00344779
2.14377,0.411413,0.00363723
2.14388,0.410971,0.00383543
2.14399,0.410525,0.00404288
2.1441,0.410075,0.00426014
2.14421,0.40962,0.00448777
2.14431,0.409161,0.00472642
2.14442,0.408698,0.00497678
2.14453,0.408231,0.00523961
2.14464,0.407759,0.00551574
2.14475,0.407283,0.00580608
2.14485,0.406803,0.00611162
2.14496,0.406318,0.00643348
2.14507,0.405829,0.00677287
2.14518,0.405336,0.00713113
2.14529,0.404839,0.00750977
2.14539,0.404337,0.00791044
2.1455,0.403831,0.00833502
2.14561,0.403321,0.00878557
2.14572,0.402807,0.00926445
2.14583,0.402288,0.00977428
2.14593,0.401766,0.010318
2.14604,0.401239,0.0108991
2.14615,0.400707,0.0115214
2.14626,0.400172,0.0121894
2.14637,0.399632,0.012908
2.14648,0.399089,0.0136833
2.14658,0.398541,0.014522
2.14669,0.397988,0.0154323
2.1468,0.397432,0.0164236
2.14691,0.396872,0.0175072
2.14702,0.396307,0.0186965
2.14712,0.395738,0.0200077
2.14723,0.395165,0.0214605
2.14734,0.394588,0.0230792
2.14745,0.394007,0.0248939
2.14756,0.393422,0.0269426
